interlocuteur,debut_iso,fin_iso,refuse
Interlocuteur 1,2026-05-28T11:29:15.505953+00:00,2026-05-28T11:29:25.373116+00:00,false
Interlocuteur 1,2026-05-28T11:52:55.834292+00:00,2026-05-28T11:54:00.285734+00:00,false
Interlocuteur 2,2026-05-28T11:54:00.285734+00:00,2026-05-28T11:55:17.934189+00:00,false
Interlocuteur 1,2026-05-28T11:55:17.934189+00:00,2026-05-28T11:56:47.1629+00:00,false
Interlocuteur 2,2026-05-28T11:56:47.1629+00:00,2026-05-28T12:00:21.587405+00:00,false
Interlocuteur 1,2026-05-28T12:00:21.587405+00:00,2026-05-28T12:00:32.115854+00:00,false
Interlocuteur 1,2026-05-28T12:01:21.366812+00:00,2026-05-28T12:03:47.356777+00:00,false
Interlocuteur 3,2026-05-28T12:03:47.356777+00:00,2026-05-28T12:05:31.93324+00:00,false
Interlocuteur 2,2026-05-28T12:05:31.93324+00:00,2026-05-28T12:07:06.528318+00:00,false
Interlocuteur 3,2026-05-28T12:07:35.307227+00:00,2026-05-28T12:09:58.405175+00:00,false
[REFUS],2026-05-28T12:09:58.405175+00:00,2026-05-28T12:16:30.500614+00:00,true
Interlocuteur 2,2026-05-28T12:16:52.38242+00:00,2026-05-28T12:20:32.911461+00:00,false
Interlocuteur 2,2026-05-28T12:20:48.292729+00:00,2026-05-28T12:21:26.151208+00:00,false
Interlocuteur 2,2026-05-28T12:21:37.560932+00:00,2026-05-28T12:22:00.432493+00:00,false
Interlocuteur 2,2026-05-28T12:22:09.973598+00:00,2026-05-28T12:22:16.542691+00:00,false
Interlocuteur 2,2026-05-28T12:23:00.987757+00:00,2026-05-28T12:23:10.97264+00:00,false
Interlocuteur 4,2026-05-28T12:23:44.073096+00:00,2026-05-28T12:24:36.304115+00:00,false
Interlocuteur 1,2026-05-28T12:24:36.304115+00:00,2026-05-28T12:25:35.717131+00:00,false
Interlocuteur 2,2026-05-28T12:25:35.855301+00:00,2026-05-28T12:25:48.411509+00:00,false
[REFUS],2026-05-28T12:25:52.934751+00:00,2026-05-28T12:26:23.513795+00:00,true
Interlocuteur 1,2026-05-28T12:26:23.513795+00:00,2026-05-28T12:28:32.062929+00:00,false
Interlocuteur 2,2026-05-28T12:28:32.062929+00:00,2026-05-28T12:28:51.07534+00:00,false
Interlocuteur 1,2026-05-28T12:29:06.994232+00:00,2026-05-28T12:29:17.571353+00:00,false
Interlocuteur 2,2026-05-28T12:29:20.237824+00:00,2026-05-28T12:30:10.961623+00:00,false
Interlocuteur 2,2026-05-28T12:30:31.910394+00:00,2026-05-28T12:30:56.028565+00:00,false
Interlocuteur 1,2026-05-28T12:31:03.542643+00:00,2026-05-28T12:31:41.05346+00:00,false
Interlocuteur 4,2026-05-28T12:31:41.05346+00:00,2026-05-28T12:31:47.193004+00:00,false
[REFUS],2026-05-28T12:31:52.813472+00:00,2026-05-28T12:35:46.479454+00:00,true
Interlocuteur 4,2026-05-28T12:37:32.747575+00:00,2026-05-28T12:39:43.189754+00:00,false
Interlocuteur 4,2026-05-28T12:39:59.773802+00:00,2026-05-28T12:40:15.71653+00:00,false
Interlocuteur 4,2026-05-28T12:40:30.983608+00:00,2026-05-28T12:41:12.802706+00:00,false
Interlocuteur 2,2026-05-28T12:41:12.802706+00:00,2026-05-28T12:41:47.478485+00:00,false
Interlocuteur 4,2026-05-28T12:41:50.678055+00:00,2026-05-28T12:42:30.551751+00:00,false
Interlocuteur 2,2026-05-28T12:42:30.551751+00:00,2026-05-28T12:42:46.978325+00:00,false
Interlocuteur 2,2026-05-28T12:42:53.550812+00:00,2026-05-28T12:43:34.056723+00:00,false
Interlocuteur 2,2026-05-28T12:44:50.680936+00:00,2026-05-28T12:44:50.783142+00:00,false
[REFUS],2026-05-28T12:44:50.783142+00:00,2026-05-28T12:44:58.904118+00:00,true
Interlocuteur 2,2026-05-28T12:45:08.334717+00:00,2026-05-28T12:45:36.94795+00:00,false
Interlocuteur 2,2026-05-28T12:45:48.065577+00:00,2026-05-28T12:45:59.46227+00:00,false
[REFUS],2026-05-28T12:46:39.538034+00:00,2026-05-28T12:51:03.756065+00:00,true
[REFUS],2026-05-28T12:51:07.750528+00:00,2026-05-28T12:51:51.612871+00:00,true
Interlocuteur 1,2026-05-28T12:51:51.612871+00:00,2026-05-28T12:52:43.970312+00:00,false
Interlocuteur 1,2026-05-28T12:52:50.339214+00:00,2026-05-28T12:56:02.332466+00:00,false
Interlocuteur 2,2026-05-28T12:56:07.199855+00:00,2026-05-28T12:57:00.051579+00:00,false
Interlocuteur 2,2026-05-28T12:57:10.062822+00:00,2026-05-28T12:57:53.019276+00:00,false
Interlocuteur 1,2026-05-28T12:58:16.055481+00:00,2026-05-28T12:58:40.85987+00:00,false
[REFUS],2026-05-28T12:59:31.383945+00:00,2026-05-28T13:02:41.65813+00:00,true
Interlocuteur 2,2026-05-28T13:03:22.9197+00:00,2026-05-28T13:07:17.850263+00:00,false
Interlocuteur 4,2026-05-28T13:07:17.850263+00:00,2026-05-28T13:07:21.584163+00:00,false
Interlocuteur 1,2026-05-28T13:07:28.9616+00:00,2026-05-28T13:09:02.804068+00:00,false
Interlocuteur 4,2026-05-28T13:09:02.804068+00:00,2026-05-28T13:09:51.808649+00:00,false
[REFUS],2026-05-28T13:09:55.166199+00:00,2026-05-28T13:12:32.764168+00:00,true
Interlocuteur 4,2026-05-28T13:12:32.764168+00:00,2026-05-28T13:13:02.082606+00:00,false
[REFUS],2026-05-28T13:13:02.082606+00:00,2026-05-28T13:15:14.72988+00:00,true
Interlocuteur 1,2026-05-28T13:15:19.998228+00:00,2026-05-28T13:17:33.438759+00:00,false
Interlocuteur 5,2026-05-28T13:17:33.438759+00:00,2026-05-28T13:20:04.261873+00:00,false
